timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
714380.538096,-10.375309,3.388958,72.450989,-3.812014,3.490691,72.219238,714380.553143,714380.482794,0,41183,1,3.355589,9.636254,80.924339,-0.102410,0.128350,0.024308
714380.544671,-10.378221,3.400587,72.453751,-3.814925,3.502320,72.222000,714380.559921,714380.482794,0,41184,1,3.358834,9.661789,80.926361,-0.115842,0.136021,0.025720
714380.545060,-10.380862,3.411165,72.456230,-3.817567,3.512898,72.224480,714380.560277,714380.482794,0,41185,1,3.359006,9.663151,80.926468,-0.116569,0.136435,0.025795
714380.550037,-10.384069,3.397920,72.465599,-3.818743,3.498494,72.218292,714380.565108,714380.499482,0,41186,1,3.333427,9.314461,80.901527,0.136494,-0.002428,0.019788
714380.554030,-10.386261,3.385025,72.467026,-3.820935,3.485599,72.219719,714380.569103,714380.499482,0,41187,1,3.334318,9.315149,80.901550,0.145119,-0.007208,0.020369
714380.558989,-10.388512,3.372841,72.468315,-3.823185,3.473415,72.221001,714380.574079,714380.499482,0,41188,1,3.335443,9.316006,80.901581,0.156235,-0.013398,0.021110
714380.562966,-10.391822,3.342273,72.472832,-3.825007,3.442905,72.214455,714380.578068,714380.516169,0,41189,1,3.329416,9.507187,80.994476,-0.233769,0.058734,0.007479
714380.566960,-10.394413,3.312798,72.471916,-3.827599,3.413430,72.213539,714380.582060,714380.516169,0,41190,1,3.329764,9.511970,80.999657,-0.250850,0.058550,0.007410
714380.570984,-10.397035,3.284215,72.471092,-3.830220,3.384847,72.212715,714380.586050,714380.516169,0,41191,1,3.330110,9.516768,81.004929,-0.268500,0.058362,0.007337
714380.574749,-10.397876,3.256507,72.475967,-3.829363,3.356574,72.208885,714380.590034,714380.532857,0,41192,1,3.310397,9.348043,80.912529,0.008887,0.011335,0.012561
714380.579738,-10.397926,3.228523,72.476448,-3.829413,3.328590,72.209358,714380.595030,714380.532857,0,41193,1,3.310359,9.348655,80.913025,0.009947,0.007220,0.012845
714380.583868,-10.398014,3.201036,72.476868,-3.829501,3.301103,72.209785,714380.599014,714380.532857,0,41194,1,3.310328,9.349116,80.913422,0.010839,0.003826,0.013077
714380.587682,-10.398069,3.192344,72.482254,-3.828313,3.291373,72.208931,714380.602994,714380.549544,0,41195,1,3.362645,9.199488,80.893402,0.245608,0.087235,0.016405
714380.591709,-10.397505,3.183020,72.484291,-3.827748,3.282048,72.210976,714380.606988,714380.549544,0,41196,1,3.365190,9.195193,80.891769,0.265381,0.089666,0.016928
714380.595619,-10.396933,3.173581,72.486130,-3.827175,3.272609,72.212807,714380.610971,714380.549544,0,41197,1,3.367776,9.190852,80.890099,0.285845,0.092187,0.017465
714380.600782,-10.396325,3.163749,72.487778,-3.826568,3.262777,72.214462,714380.615966,714380.549544,0,41198,1,3.371090,9.185321,80.887939,0.312572,0.095489,0.018161
714380.604600,-10.399330,3.176440,72.500473,-3.827291,3.272501,72.213043,714380.619946,714380.566232,0,41199,1,3.317182,9.142947,81.032219,-0.134492,0.073932,0.006620
714380.608596,-10.401114,3.187126,72.505547,-3.829075,3.283187,72.218117,714380.623935,714380.566232,0,41200,1,3.316622,9.135346,81.037361,-0.146778,0.075484,0.006476
714380.612752,-10.402827,3.197389,72.510109,-3.830787,3.293450,72.222679,714380.627924,714380.566232,0,41201,1,3.316045,9.127581,81.042580,-0.159569,0.077106,0.006328
714380.616648,-10.404476,3.207323,72.514221,-3.832436,3.303383,72.226791,714380.631926,714380.566232,0,41202,1,3.315447,9.119622,81.047890,-0.172909,0.078802,0.006174
714380.621580,-10.407222,3.231028,72.521484,-3.833881,3.324356,72.226074,714380.636903,714380.582919,0,41203,1,3.239701,8.779239,80.936638,0.011524,-0.017039,-0.007769
714380.625606,-10.409269,3.253020,72.524437,-3.835928,3.346347,72.229019,714380.640907,714380.582919,0,41204,1,3.235294,8.752248,80.937508,0.011741,-0.022839,-0.008625
714380.629585,-10.411276,3.274776,72.527084,-3.837935,3.368104,72.231674,714380.644884,714380.582919,0,41205,1,3.230817,8.724842,80.938377,0.011958,-0.028808,-0.009496
714380.633610,-10.413250,3.296429,72.529472,-3.839909,3.389757,72.234062,714380.648897,714380.582919,0,41206,1,3.226197,8.696570,80.939255,0.012179,-0.035046,-0.010397
714380.637561,-10.413398,3.322884,72.541443,-3.838400,3.413425,72.234612,714380.652863,714380.599607,0,41207,1,3.367157,8.910074,81.089195,0.031626,0.167298,0.006676
714380.641579,-10.412669,3.347986,72.547081,-3.837671,3.438526,72.240250,714380.656853,714380.599607,0,41208,1,3.369167,8.893703,81.096184,0.033673,0.176192,0.006716
714380.646886,-10.411853,3.373926,72.552155,-3.836854,3.464467,72.245323,714380.661875,714380.599607,0,41209,1,3.371737,8.872642,81.105133,0.036360,0.187863,0.006775
714380.649642,-10.411013,3.399365,72.556725,-3.836014,3.489906,72.249886,714380.664895,714380.599607,0,41210,1,3.373305,8.859733,81.110603,0.038036,0.195138,0.006814
714380.654552,-10.412731,3.413364,72.567589,-3.835927,3.501688,72.250595,714380.669850,714380.616294,0,41211,1,3.338926,9.019928,81.055580,-0.028734,0.043571,0.005860
714380.658601,-10.413446,3.426842,72.572800,-3.836643,3.515167,72.255806,714380.673845,714380.616294,0,41212,1,3.338948,9.012416,81.059212,-0.031773,0.042176,0.005719
714380.662630,-10.414068,3.440904,72.577484,-3.837264,3.529228,72.260498,714380.677822,714380.616294,0,41213,1,3.338961,9.004879,81.062851,-0.034918,0.040725,0.005574
714380.666550,-10.414600,3.455570,72.581703,-3.837796,3.543894,72.264717,714380.681837,714380.616294,0,41214,1,3.338965,8.997214,81.066559,-0.038215,0.039198,0.005423
714380.671573,-10.415576,3.456131,72.592514,-3.838072,3.541507,72.269890,714380.686795,714380.632982,0,41215,1,3.316185,8.844221,81.243927,0.087157,-0.019838,0.005132
714380.675724,-10.416095,3.456100,72.599709,-3.838591,3.541476,72.277077,714380.690789,714380.632982,0,41216,1,3.314831,8.829342,81.256729,0.093208,-0.026205,0.004946
714380.679728,-10.416514,3.456869,72.606178,-3.839010,3.542245,72.283554,714380.694763,714380.632982,0,41217,1,3.313442,8.814320,81.269699,0.099447,-0.032782,0.004756
714380.683508,-10.416840,3.458374,72.612007,-3.839335,3.543750,72.289375,714380.698751,714380.632982,0,41218,1,3.312008,8.799028,81.282944,0.105924,-0.039627,0.004559
714380.687392,-10.415254,3.450809,72.620888,-3.837180,3.533967,72.296608,714380.702727,714380.649669,0,41219,1,3.321961,8.721412,81.247025,0.081795,0.093382,0.014263
714380.692423,-10.413194,3.442870,72.628136,-3.835120,3.526029,72.303856,714380.707719,714380.649669,0,41220,1,3.322390,8.698114,81.261879,0.087797,0.097559,0.014809
714380.696630,-10.411020,3.435592,72.634659,-3.832947,3.518751,72.310379,714380.711712,714380.649669,0,41221,1,3.322743,8.679173,81.273972,0.092761,0.101058,0.015261
714380.700596,-10.410265,3.443040,72.639122,-3.832483,3.524393,72.319099,714380.715700,714380.666357,0,41222,1,3.327446,8.766624,81.156952,-0.050719,0.065900,0.011274
714380.704617,-10.409531,3.449755,72.645058,-3.831748,3.531108,72.325027,714380.719692,714380.666357,0,41223,1,3.328134,8.752248,81.162903,-0.056907,0.066670,0.011471
714380.708392,-10.408677,3.456632,72.650398,-3.830895,3.537985,72.330368,714380.723675,714380.666357,0,41224,1,3.328837,8.737743,81.168907,-0.063349,0.067467,0.011673
714380.712622,-10.407708,3.463669,72.655205,-3.829926,3.545022,72.335175,714380.727679,714380.666357,0,41225,1,3.329558,8.722996,81.174995,-0.070100,0.068300,0.011880
714380.716468,-10.407640,3.467654,72.655136,-3.830741,3.547904,72.342911,714380.731653,714380.683044,0,41226,1,3.337805,8.826261,81.148048,-0.090527,0.084374,0.008325
714380.721640,-10.407900,3.471587,72.658592,-3.831000,3.551837,72.346367,714380.736653,714380.683044,0,41227,1,3.338774,8.811131,81.153603,-0.101206,0.086920,0.008336
714380.725554,-10.408071,3.475806,72.661697,-3.831172,3.556056,72.349472,714380.740638,714380.683044,0,41228,1,3.339561,8.798901,81.158058,-0.110078,0.089028,0.008345
714380.729532,-10.408163,3.480291,72.664497,-3.831263,3.560540,72.352272,714380.744629,714380.683044,0,41229,1,3.340360,8.786496,81.162544,-0.119286,0.091210,0.008353
714380.733528,-10.408183,3.485023,72.667015,-3.831283,3.565272,72.354790,714380.748626,714380.683044,0,41230,1,3.341173,8.773919,81.167061,-0.128831,0.093467,0.008361
714380.737336,-10.407351,3.486786,72.661499,-3.831841,3.565820,72.361351,714380.752604,714380.699732,0,41231,1,3.375440,9.048933,81.244720,0.050634,0.090720,0.010809
714380.742657,-10.407163,3.488359,72.661964,-3.831653,3.567393,72.361816,714380.757595,714380.699732,0,41232,1,3.378223,9.053456,81.254967,0.055471,0.093337,0.011020
714380.745559,-10.406954,3.490093,72.662384,-3.831445,3.569127,72.362244,714380.760596,714380.699732,0,41233,1,3.379925,9.056377,81.261215,0.058508,0.094956,0.011151
714380.750456,-10.403079,3.489710,72.662491,-3.828284,3.566876,72.370316,714380.765563,714380.716419,0,41234,1,3.348716,8.991121,81.127838,0.060879,-0.005101,0.021250
714380.754356,-10.399497,3.488565,72.666176,-3.824702,3.565731,72.374001,714380.769563,714380.716419,0,41235,1,3.349291,8.990559,81.129417,0.065366,-0.010695,0.021828
714380.758446,-10.395843,3.487556,72.669495,-3.821047,3.564721,72.377319,714380.773550,714380.716419,0,41236,1,3.349867,8.990125,81.130936,0.070024,-0.016497,0.022415
714380.762473,-10.392106,3.486647,72.672478,-3.817311,3.563813,72.380302,714380.777539,714380.716419,0,41237,1,3.350445,8.989819,81.132408,0.074870,-0.022526,0.023012
714380.766444,-10.388279,3.485810,72.675163,-3.813484,3.562975,72.382988,714380.781527,714380.716419,0,41238,1,3.351026,8.989639,81.133827,0.079899,-0.028777,0.023620
714380.771409,-10.385194,3.478311,72.671844,-3.811298,3.554846,72.389687,714380.786513,714380.733107,0,41239,1,3.335995,8.946233,81.049149,0.046289,0.016147,0.021324
714380.775509,-10.382446,3.470624,72.673370,-3.808551,3.547158,72.391205,714380.790519,714380.733107,0,41240,1,3.336032,8.944396,81.046455,0.048540,0.013064,0.021851
714380.779490,-10.379590,3.463013,72.674736,-3.805695,3.539547,72.392578,714380.794498,714380.733107,0,41241,1,3.336066,8.942659,81.043655,0.050840,0.009901,0.022382
714380.783471,-10.379676,3.458007,72.670135,-3.806460,3.535395,72.400291,714380.798476,714380.749795,0,41242,1,3.289844,8.934069,81.008812,0.057350,0.097181,0.015344
714380.787199,-10.380004,3.453456,72.671539,-3.806787,3.530843,72.401688,714380.802469,714380.749795,0,41243,1,3.287388,8.932613,81.004623,0.060271,0.100990,0.015617
714380.792430,-10.380238,3.448786,72.672798,-3.807021,3.526173,72.402954,714380.807459,714380.749795,0,41244,1,3.284224,8.930933,80.999176,0.064046,0.105985,0.015966
714380.796390,-10.380406,3.444096,72.673935,-3.807190,3.521483,72.404083,714380.811450,714380.749795,0,41245,1,3.281618,8.929699,80.994652,0.067163,0.110170,0.016252
714380.800333,-10.380522,3.439362,72.674950,-3.807305,3.516750,72.405106,714380.815431,714380.749795,0,41246,1,3.278952,8.928568,80.989983,0.070361,0.114512,0.016544
714380.804334,-10.380594,3.434562,72.675873,-3.807378,3.511950,72.406021,714380.819428,714380.749795,0,41247,1,3.276209,8.927531,80.985146,0.073659,0.119038,0.016843
714380.808371,-10.380635,3.429677,72.676697,-3.807419,3.507064,72.406853,714380.823425,714380.749795,0,41248,1,3.273399,8.926594,80.980164,0.077045,0.123734,0.017149
714380.812288,-10.380653,3.424692,72.677444,-3.807437,3.502079,72.407593,714380.827402,714380.749795,0,41249,1,3.270536,8.925759,80.975052,0.080501,0.128573,0.017459
714380.817330,-10.374518,3.414570,72.661995,-3.803463,3.494733,72.416992,714380.832409,714380.766482,0,41250,1,3.143644,8.946108,80.887459,-0.047562,0.019090,0.007840
714380.821324,-10.369578,3.405723,72.659279,-3.798523,3.485886,72.414276,714380.836383,714380.766482,0,41251,1,3.134970,8.946011,80.878319,-0.052690,0.016710,0.007599
714380.825310,-10.364731,3.396730,72.656830,-3.793675,3.476893,72.411827,714380.840370,714380.766482,0,41252,1,3.126078,8.946014,80.868912,-0.058029,0.014248,0.007349
714380.829308,-10.359958,3.387565,72.654633,-3.788902,3.467728,72.409630,714380.844358,714380.766482,0,41253,1,3.116998,8.946118,80.859276,-0.063560,0.011715,0.007089
714380.833067,-10.350581,3.385374,72.641830,-3.781279,3.469161,72.421280,714380.848343,714380.783116,0,41254,1,3.032085,8.974178,80.863823,0.015734,0.022154,0.008271
714380.838360,-10.341971,3.384409,72.641312,-3.772669,3.468195,72.420761,714380.853331,714380.783116,0,41255,1,3.016363,8.976258,80.851158,0.015205,0.019669,0.008123
714380.842053,-10.333428,3.383020,72.640846,-3.764126,3.466807,72.420296,714380.857322,714380.783116,0,41256,1,3.003505,8.978068,80.840767,0.014757,0.017619,0.008000
714380.845998,-10.325656,3.377787,72.622459,-3.758473,3.465415,72.435455,714380.861304,714380.799796,0,41257,1,3.117573,9.043058,80.882935,0.000721,0.130069,0.003428
714380.849997,-10.318936,3.374218,72.621002,-3.751754,3.461846,72.434006,714380.865306,714380.799796,0,41258,1,3.109523,9.047660,80.874481,-0.000460,0.135870,0.003148
714380.854026,-10.312201,3.370404,72.619698,-3.745018,3.458032,72.432701,714380.869284,714380.799796,0,41259,1,3.101378,9.052407,80.865906,-0.001671,0.141842,0.002866
714380.858995,-10.305249,3.366192,72.618515,-3.738067,3.453820,72.431519,714380.874275,714380.799796,0,41260,1,3.090956,9.058612,80.854889,-0.003242,0.149627,0.002504
714380.862990,-10.298573,3.368664,72.603165,-3.733223,3.459400,72.445335,714380.878265,714380.816477,0,41261,1,2.975660,8.717013,80.822655,0.193885,0.034973,-0.007668
714380.866938,-10.292754,3.372190,72.602470,-3.727405,3.462927,72.444633,714380.882249,714380.816477,0,41262,1,2.962455,8.707416,80.812637,0.205717,0.033488,-0.008473
714380.870976,-10.286870,3.375267,72.601845,-3.721520,3.466004,72.444008,714380.886243,714380.816477,0,41263,1,2.948982,8.697666,80.802399,0.217957,0.031946,-0.009297
714380.875069,-10.280915,3.377940,72.601280,-3.715566,3.468677,72.443451,714380.890228,714380.816477,0,41264,1,2.935301,8.687809,80.791985,0.230552,0.030352,-0.010136
714380.879132,-10.271189,3.381762,72.589607,-3.706953,3.474783,72.453896,714380.894231,714380.833157,0,41265,1,2.908319,9.005637,80.718384,-0.092338,0.091038,-0.010517
714380.882845,-10.261986,3.386331,72.589058,-3.697751,3.479353,72.453346,714380.898202,714380.833157,0,41266,1,2.893877,9.006545,80.704842,-0.101188,0.093292,-0.011450
714380.887918,-10.252478,3.390583,72.588570,-3.688243,3.483604,72.452850,714380.903195,714380.833157,0,41267,1,2.875371,9.007730,80.687454,-0.112774,0.096219,-0.012652
714380.891906,-10.241061,3.409988,72.577530,-3.677901,3.505406,72.456909,714380.907184,714380.849838,0,41268,1,3.086333,8.970263,80.884750,-0.070233,0.104776,-0.015470
714380.895807,-10.230145,3.429985,72.574387,-3.666984,3.525403,72.453766,714380.911167,714380.849838,0,41269,1,3.080192,8.969990,80.878639,-0.077714,0.108062,-0.016554
714380.899790,-10.219165,3.449497,72.571556,-3.656004,3.544914,72.450935,714380.915157,714380.849838,0,41270,1,3.073971,8.969734,80.872414,-0.085491,0.111461,-0.017662
714380.904952,-10.207787,3.469046,72.569016,-3.644626,3.564464,72.448395,714380.920190,714380.849838,0,41271,1,3.066029,8.969437,80.864410,-0.095700,0.115898,-0.019091
714380.908879,-10.192836,3.460263,72.559288,-3.629797,3.558328,72.447464,714380.924134,714380.866518,0,41272,1,2.856174,9.362991,80.989441,-0.049082,-0.100701,-0.012381
714380.912783,-10.177912,3.453314,72.554497,-3.614874,3.551379,72.442665,714380.928123,714380.866518,0,41273,1,2.843134,9.380480,80.987877,-0.052655,-0.112753,-0.013369
714380.916793,-10.162919,3.446816,72.550186,-3.599881,3.544882,72.438354,714380.932113,714380.866518,0,41274,1,2.829924,9.398366,80.986282,-0.056299,-0.125246,-0.014381
714380.920824,-10.147821,3.440715,72.546303,-3.584784,3.538780,72.434471,714380.936108,714380.866518,0,41275,1,2.816536,9.416660,80.984673,-0.060017,-0.138189,-0.015417
714380.925053,-10.128517,3.436124,72.538498,-3.565621,3.534241,72.428886,714380.940093,714380.883199,0,41276,1,3.072664,9.368251,80.940727,-0.062459,0.173692,0.002437
714380.928792,-10.109167,3.431683,72.532478,-3.546270,3.529800,72.422867,714380.944106,714380.883199,0,41277,1,3.069755,9.384706,80.937805,-0.067315,0.182820,0.002469
714380.933798,-10.089140,3.427249,72.527054,-3.526243,3.525367,72.417442,714380.949094,714380.883199,0,41278,1,3.066201,9.405631,80.934135,-0.073544,0.194633,0.002520
714380.937983,-10.068946,3.422887,72.522179,-3.506048,3.521005,72.412560,714380.953120,714380.883199,0,41279,1,3.063383,9.422909,80.931129,-0.078729,0.204549,0.002571
714380.941791,-10.050842,3.417614,72.513481,-3.487663,3.516509,72.408752,714380.957067,714380.899879,0,41280,1,3.047914,9.373007,80.902260,0.118452,0.113803,0.006361
714380.945728,-10.032373,3.412815,72.507851,-3.469193,3.511709,72.403122,714380.961053,714380.899879,0,41281,1,3.044100,9.387929,80.898354,0.128310,0.117963,0.006696
714380.951048,-10.013126,3.407969,72.502785,-3.449947,3.506863,72.398056,714380.966031,714380.899879,0,41282,1,3.039358,9.406960,80.893410,0.141197,0.123362,0.007138
714380.953792,-9.994194,3.403280,72.498230,-3.431015,3.502174,72.393501,714380.969020,714380.899879,0,41283,1,3.036521,9.418594,80.890404,0.149240,0.126713,0.007416
714380.958744,-9.973440,3.399844,72.486748,-3.410147,3.499539,72.389801,714380.974033,714380.916560,0,41284,1,2.712991,9.372131,80.832100,-0.070584,-0.055373,0.002245
714380.962730,-9.952402,3.396768,72.479919,-3.389110,3.496463,72.382965,714380.978036,714380.916560,0,41285,1,2.697705,9.384827,80.825729,-0.075971,-0.064768,0.002136
714380.966899,-9.931127,3.393647,72.473770,-3.367834,3.493342,72.376823,714380.982014,714380.916560,0,41286,1,2.682328,9.397642,80.819313,-0.081501,-0.074463,0.002025
714380.970824,-9.909586,3.390473,72.468239,-3.346294,3.490168,72.371292,714380.985998,714380.916560,0,41287,1,2.666746,9.410674,80.812798,-0.087216,-0.084530,0.001910
714380.974809,-9.882956,3.399127,72.468544,-3.318542,3.499665,72.376846,714380.989968,714380.933241,0,41288,1,2.619503,9.148085,80.895050,0.129569,0.111773,0.013604
714380.979710,-9.854657,3.408085,72.471184,-3.290244,3.508624,72.379486,714380.994954,714380.933241,0,41289,1,2.597600,9.149323,80.892471,0.141768,0.117214,0.014402
714380.983905,-9.826036,3.416815,72.473557,-3.261624,3.517354,72.381859,714380.998954,714380.933241,0,41290,1,2.579776,9.150256,80.890404,0.151959,0.121770,0.015065
714380.987851,-9.797071,3.425362,72.475693,-3.232658,3.525901,72.383995,714381.002934,714380.933241,0,41291,1,2.561824,9.151129,80.888344,0.162455,0.126470,0.015747
714380.991853,-9.779270,3.433156,72.476891,-3.213796,3.533445,72.384987,714381.006924,714380.949921,0,41292,1,2.365093,8.829049,80.915604,0.200099,0.084894,0.018417
714380.995993,-9.760404,3.440613,72.477875,-3.194930,3.540902,72.385963,714381.010914,714380.949921,0,41293,1,2.336433,8.815014,80.914925,0.213650,0.086614,0.019241
714380.999881,-9.741024,3.447896,72.478760,-3.175550,3.548185,72.386848,714381.014908,714380.949921,0,41294,1,2.307297,8.800602,80.914276,0.227663,0.088388,0.020089
714381.004696,-9.720545,3.455186,72.479553,-3.155071,3.555475,72.387650,714381.019890,714380.949921,0,41295,1,2.270315,8.782115,80.913490,0.245772,0.090678,0.021179
714381.008669,-9.573719,3.460959,72.476021,-3.006923,3.560257,72.377556,714381.023876,714380.966602,0,41296,1,2.338063,9.101394,80.887115,-0.217345,0.093409,0.012375
714381.012611,-9.555387,3.466391,72.469887,-2.988592,3.565689,72.371414,714381.027866,714380.966602,0,41297,1,2.311977,9.099487,80.885384,-0.235907,0.095365,0.012727
714381.016788,-9.537045,3.471987,72.464363,-2.970249,3.571285,72.365898,714381.031858,714380.966602,0,41298,1,2.285513,9.097461,80.883659,-0.255182,0.097374,0.013085
714381.020674,-9.518709,3.477754,72.459396,-2.951913,3.577052,72.360931,714381.035848,714380.966602,0,41299,1,2.258694,9.095316,80.881935,-0.275154,0.099435,0.013449
714381.025618,-9.403261,3.464548,72.457497,-2.835215,3.561746,72.356720,714381.040865,714380.983282,0,41300,1,2.291996,9.117929,80.928825,-0.175996,0.057792,0.017187
714381.029779,-9.376427,3.450881,72.454750,-2.808381,3.548079,72.353966,714381.044825,714380.983282,0,41301,1,2.267852,9.116162,80.928978,-0.189313,0.056916,0.017702
714381.033773,-9.348996,3.437703,72.452278,-2.780950,3.534900,72.351494,714381.048819,714380.983282,0,41302,1,2.243218,9.114266,80.929161,-0.203191,0.055985,0.018230
714381.037775,-9.321228,3.424929,72.450050,-2.753182,3.522126,72.349266,714381.052806,714380.983282,0,41303,1,2.218326,9.112257,80.929382,-0.217502,0.055006,0.018766
714381.041739,-9.362914,3.423439,72.456787,-2.793264,3.519131,72.343628,714381.056791,714380.999963,0,41304,1,2.187788,8.466769,80.838722,0.397614,0.006144,0.029672
714381.045699,-9.361741,3.421101,72.457283,-2.792090,3.516793,72.344124,714381.060788,714380.999963,0,41305,1,2.161999,8.434515,80.835846,0.427848,0.001547,0.030810
714381.050693,-9.353689,3.418577,72.457726,-2.784039,3.514270,72.344566,714381.065765,714380.999963,0,41306,1,2.129470,8.393273,80.832230,0.467047,-0.004417,0.032264
714381.054740,-9.401844,3.426526,72.470024,-2.830668,3.519372,72.345612,714381.069749,714381.016643,0,41307,1,2.106163,8.520843,80.949837,0.077347,-0.006130,0.031947
714381.058508,-9.404878,3.432760,72.476028,-2.833702,3.525607,72.351616,714381.073746,714381.016643,0,41308,1,2.080328,8.493333,80.951271,0.080712,-0.011015,0.033007
714381.062626,-9.406754,3.438744,72.481430,-2.835577,3.531590,72.357018,714381.077737,714381.016643,0,41309,1,2.054271,8.465247,80.952759,0.084136,-0.016054,0.034084
714381.066623,-9.407636,3.444515,72.486290,-2.836460,3.537361,72.361877,714381.081729,714381.016643,0,41310,1,2.027941,8.436531,80.954292,0.087624,-0.021256,0.035180
714381.070534,-9.411010,3.459016,72.495857,-2.838334,3.551901,72.359970,714381.085709,714381.033324,0,41311,1,2.058174,8.464592,80.925476,-0.110582,0.112602,0.025866
714381.075799,-9.412831,3.473679,72.499298,-2.840156,3.566564,72.363419,714381.090706,714381.033324,0,41312,1,2.027564,8.426267,80.925484,-0.126484,0.118521,0.026734
714381.079656,-9.414111,3.488204,72.502396,-2.841435,3.581089,72.366516,714381.094694,714381.033324,0,41313,1,2.002890,8.394913,80.925491,-0.139799,0.123468,0.027439
714381.083537,-9.414964,3.502651,72.505188,-2.842289,3.595536,72.369308,714381.098679,714381.033324,0,41314,1,1.978027,8.362917,80.925522,-0.153651,0.128605,0.028153
714381.087593,-9.410345,3.505102,72.512833,-2.836214,3.596207,72.367699,714381.102666,714381.050005,0,41315,1,2.015732,8.698256,80.970276,0.009486,0.128540,0.026528
714381.091779,-9.404770,3.506930,72.515549,-2.830639,3.598035,72.370422,714381.106774,714381.050005,0,41316,1,1.990740,8.684942,80.973198,0.008363,0.134168,0.027291
714381.095698,-9.399066,3.508983,72.517998,-2.824935,3.600089,72.372864,714381.110656,714381.050005,0,41317,1,1.966898,8.672167,80.976036,0.007264,0.139687,0.028026
714381.100533,-9.393105,3.511366,72.520195,-2.818973,3.602472,72.375069,714381.115632,714381.050005,0,41318,1,1.936016,8.655515,80.979774,0.005802,0.147045,0.028987
714381.104601,-9.386348,3.504360,72.526588,-2.811250,3.594851,72.373428,714381.119899,714381.066685,0,41319,1,2.158198,8.564541,80.958122,0.163700,0.038743,0.026296
714381.108320,-9.379164,3.497380,72.528725,-2.804065,3.587871,72.375557,714381.123608,714381.066685,0,41320,1,2.146158,8.548820,80.959419,0.172963,0.036548,0.026788
714381.112516,-9.372006,3.490646,72.530647,-2.796908,3.581137,72.377480,714381.127603,714381.066685,0,41321,1,2.133247,8.531647,80.960838,0.183263,0.034079,0.027322
714381.116269,-9.364799,3.500562,72.537727,-2.788352,3.590909,72.378639,714381.131583,714381.083366,0,41322,1,2.201956,8.714298,80.972984,0.010273,0.109917,0.019477
714381.121274,-9.356814,3.510506,72.541428,-2.780367,3.600853,72.382339,714381.136572,714381.083366,0,41323,1,2.190016,8.704613,80.976379,0.007285,0.114144,0.019644
714381.125279,-9.348944,3.520353,72.544762,-2.772496,3.610699,72.385674,714381.140563,714381.083366,0,41324,1,2.180591,8.696826,80.979179,0.004759,0.117653,0.019773
714381.129273,-9.341203,3.530138,72.547768,-2.764755,3.620484,72.388672,714381.144552,714381.083366,0,41325,1,2.171285,8.689010,80.982033,0.002113,0.121272,0.019899
714381.133257,-9.336752,3.522493,72.558525,-2.758643,3.612909,72.386086,714381.148535,714381.100046,0,41326,1,2.134783,9.002233,80.994583,-0.181490,0.003907,0.009921
714381.137219,-9.331599,3.515229,72.562202,-2.753491,3.605645,72.389763,714381.152526,714381.100046,0,41327,1,2.125903,9.008887,80.997101,-0.199336,-0.001366,0.009413
714381.142408,-9.326513,3.508138,72.565514,-2.748405,3.598554,72.393074,714381.157527,714381.100046,0,41328,1,2.114976,9.017596,81.000320,-0.222687,-0.008274,0.008744
714381.146442,-9.321618,3.501286,72.568489,-2.743509,3.591702,72.396057,714381.161516,714381.100046,0,41329,1,2.106416,9.024841,81.002945,-0.242109,-0.014026,0.008184
714381.150433,-9.319283,3.493003,72.573898,-2.740300,3.582255,72.382828,714381.165500,714381.116727,0,41330,1,2.180557,9.039674,80.940582,0.038998,0.022944,0.007066
714381.154196,-9.316809,3.484315,72.570381,-2.737827,3.573567,72.379311,714381.169487,714381.116727,0,41331,1,2.176533,9.046960,80.940948,0.041744,0.019612,0.006523
714381.158177,-9.314652,3.475753,72.567215,-2.735671,3.565006,72.376144,714381.173473,714381.116727,0,41332,1,2.172748,9.054481,80.941330,0.044663,0.016156,0.005961
714381.163172,-9.312869,3.467074,72.564369,-2.733887,3.556326,72.373291,714381.178456,714381.116727,0,41333,1,2.168351,9.064214,80.941811,0.048552,0.011659,0.005233
714381.167076,-9.306429,3.464479,72.573540,-2.727288,3.555220,72.360626,714381.182440,714381.133407,0,41334,1,2.174340,9.147764,80.951302,0.019949,0.066995,0.010935
714381.171203,-9.300266,3.462439,72.571968,-2.721124,3.553180,72.359055,714381.186430,714381.133407,0,41335,1,2.172246,9.159546,80.951813,0.021138,0.068125,0.010612
714381.175135,-9.294447,3.460210,72.570549,-2.715306,3.550951,72.357635,714381.190427,714381.133407,0,41336,1,2.170418,9.171660,80.952332,0.022424,0.069330,0.010277
714381.179075,-9.288964,3.457794,72.569275,-2.709823,3.548535,72.356361,714381.194411,714381.133407,0,41337,1,2.168862,9.184046,80.952866,0.023800,0.070603,0.009933
714381.183037,-9.281651,3.465526,72.577019,-2.702363,3.555203,72.348007,714381.198398,714381.150088,0,41338,1,2.184192,9.356975,80.976463,-0.012449,0.042070,0.016943
714381.188072,-9.274455,3.472483,72.576736,-2.695166,3.562160,72.347733,714381.203391,714381.150088,0,41339,1,2.184289,9.385481,80.978630,-0.014355,0.040578,0.016832
